code_prime,duration_0,est6p5_0,slope_0,intercept_0,duration_700,est6p5_700,slope_700,intercept_700
1460630,5882,0.017,-0.595,2.099,6582.0,0.0296,-0.578,2.23
1460920,4571,0.0141,-0.642,2.32,5271.0,0.0339,-0.607,2.474
1460921,4571,0.00603,-0.688,2.251,5271.0,0.0306,-0.599,2.379
1461020,4571,0.049,-0.517,2.053,5271.0,0.0342,-0.605,2.464
1461021,4571,0.00649,-0.697,2.341,5271.0,0.0275,-0.6,2.34
2201600,5457,0.0768,-0.565,2.56,6157.0,0.114,-0.609,3.017
2205700,5457,0.0383,-0.591,2.427,6157.0,0.0774,-0.616,2.892
2510900,5457,0.00622,-0.806,3.031,6157.0,0.0296,-0.685,2.923
3000131,4530,0.00985,-0.738,2.788,5230.0,0.0383,-0.731,3.333
3000330,4530,0.00603,-0.75,2.653,5230.0,0.0357,-0.699,3.097
3000531,4530,0.0178,-0.697,2.783,5230.0,0.0347,-0.74,3.35
3003231,4530,0.017,-0.66,2.52,5230.0,0.031,-0.7,3.044
3003432,4530,0.00685,-0.81,3.099,5230.0,0.0301,-0.725,3.19
3015600,5457,0.00648,-0.817,3.121,6157.0,0.0258,-0.749,3.278
3100260,4076,0.0188,-0.646,2.476,4776.0,0.0385,-0.674,2.968
3110032,4076,0.00109,-0.938,3.132,4776.0,0.0286,-0.676,2.848
3110631,4076,0.0582,-0.593,2.622,4776.0,0.0278,-0.76,3.385
3111630,4076,0.00744,-0.772,2.891,4776.0,0.0283,-0.698,2.989
3112730,4076,0.0473,-0.595,2.54,4776.0,0.0248,-0.726,3.111
3720335,7890,0.00368,-0.69,2.051,8590.0,0.0123,-0.563,1.747
3900100,28481,0.00154,-0.703,1.76,29181.0,0.00742,-0.581,1.649
4410200,5436,0.00125,-0.817,2.405,6136.0,0.0155,-0.563,1.848
7400430,6392,0.0196,-0.519,1.663,7092.0,0.0303,-0.601,2.387
7401232,6392,0.00601,-0.65,2.006,7092.0,0.0238,-0.565,2.048
7410630,4032,0.0289,-0.547,2.019,4732.0,0.0423,-0.532,2.083
7413830,6392,0.0331,-0.539,2.021,7092.0,0.0499,-0.59,2.53
7413930,6391,0.0697,-0.443,1.723,6573.0,0.157,-0.416,1.902
7414800,7319,0.0422,-0.507,1.924,8019.0,0.056,-0.589,2.575
7414831,6392,0.0651,-0.408,1.466,7092.0,0.0693,-0.519,2.216
7414832,6391,0.0185,-0.573,1.992,7091.0,0.053,-0.638,2.875
7414832,6392,0.0459,-0.52,2.039,7092.0,0.053,-0.638,2.875
7415130,6392,0.0218,-0.551,1.924,7092.0,0.0499,-0.561,2.346
7415330,6392,0.0127,-0.59,1.937,7092.0,0.0242,-0.632,2.494
